universal_id,source_dataset,source_doi,domain_family,response_type,ucs_kpa,cbr_pct,cbr_condition,curing_days,soil_id,soil_class,soil_location,sand_pct,silt_pct,clay_pct,gravel_pct,ll_pct,pl_pct,pi_pct,specific_gravity,omc_pct,mdd_gcm3,water_content_pct,dry_density_gcm3,cement_pct,lime_pct,fly_ash_pct,ggbs_pct,rice_husk_ash_pct,pond_ash_pct,marble_powder_pct,harha_pct,fgd_gypsum_pct,biopolymer_pct,xanthan_gum_pct,guar_gum_pct,chitosan_pct,lignin_pct,fiber_pct,polypropylene_pct,jute_pct,waste_plastic_pct,sludge_pct,coconut_shell_pct,naoh_pct,na2sio3_pct,alkali_activator_pct,water_binder_ratio,compaction_rate_mm_min,ucs_class,ucs_high_binary,kgco2e_per_100kg_soil,source_baseline,gain,gain_per_co2,pareto_response,cbr_class,cbr_pass_8
UCDV1_03349,Kafle and Baghbani 2025 WTS stabilisation,10.3390/su17219919,mixed_stabilized_soil,CBR,,20.0,,,,,,,,,,,,,,35.1,1.218,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9,19.1,,CBR,usable_8_20,1.0
UCDV1_03350,Kafle and Baghbani 2025 WTS stabilisation,10.3390/su17219919,mixed_stabilized_soil,CBR,,20.0,,,,,,,,,,,,,,35.1,1.218,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.9,19.1,,CBR,usable_8_20,1.0
UCDV1_03351,Kafle and Baghbani 2025 WTS stabilisation,10.3390/su17219919,mixed_stabilized_soil,CBR,,24.0,,,,,,,,,,,,,,36.7,1.21,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,0.9,23.1,13.588235294117649,CBR,strong_>20,1.0
UCDV1_03352,Kafle and Baghbani 2025 WTS stabilisation,10.3390/su17219919,mixed_stabilized_soil,CBR,,24.0,,,,,,,,,,,,,,36.7,1.21,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,0.9,23.1,13.588235294117649,CBR,strong_>20,1.0
UCDV1_03353,Kafle and Baghbani 2025 WTS stabilisation,10.3390/su17219919,mixed_stabilized_soil,CBR,,30.0,,,,,,,,,,,,,,38.4,1.201,,,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,0.9,29.1,8.558823529411764,CBR,strong_>20,1.0
UCDV1_03354,Kafle and Baghbani 2025 WTS stabilisation,10.3390/su17219919,mixed_stabilized_soil,CBR,,30.0,,,,,,,,,,,,,,38.4,1.201,,,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,0.9,29.1,8.558823529411764,CBR,strong_>20,1.0
UCDV1_03355,Kafle and Baghbani 2025 WTS stabilisation,10.3390/su17219919,mixed_stabilized_soil,CBR,,51.0,,,,,,,,,,,,,,36.5,1.24,,,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,0.9,50.1,9.823529411764707,CBR,strong_>20,1.0
UCDV1_03356,Kafle and Baghbani 2025 WTS stabilisation,10.3390/su17219919,mixed_stabilized_soil,CBR,,51.0,,,,,,,,,,,,,,36.5,1.24,,,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,0.9,50.1,9.823529411764707,CBR,strong_>20,1.0
UCDV1_02671,Scientific Reports supplementary table - HARHA-treated expansive soil CBR,10.1038/s41598-023-40903-1,mixed_stabilized_soil,CBR,,8.0,,,,,,,,,,66.0,21.0,45.0,,16.0,1.25,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,,CBR,marginal_5_8,1.0
UCDV1_02672,Scientific Reports supplementary table - HARHA-treated expansive soil CBR,10.1038/s41598-023-40903-1,mixed_stabilized_soil,CBR,,8.0,,,,,,,,,,66.0,21.0,45.0,,16.0,1.25,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,,CBR,marginal_5_8,1.0
