scenario_factor,EC_mix_kgCO2e_m3,rho_d_kg_m3
0.8,194.95102040816337,1680.61224489796
0.8,1228.4552734693855,1733.14795918367
0.8,1177.5782228571413,1737.86632653061
0.8,1131.3220244897932,1750.1887755102
0.8,1088.4087012244877,1769.19489795918
0.8,1050.434244897957,1798.6887755102
0.8,992.4311224489808,1795.2806122449
0.8,1265.4573877551034,1710.07755102041
0.8,1048.355265306122,1802.04081632653
0.8,1049.0494693877533,1810.2040816326498
0.8,1050.8852244897982,1820.40816326531
0.8,1048.8680816326512,1827.55102040816
0.8,194.95102040816337,1680.61224489796
0.8,1228.4552734693855,1733.14795918367
0.8,1177.5782228571413,1737.86632653061
0.8,1131.3220244897932,1750.1887755102
0.8,1088.4087012244877,1769.19489795918
0.8,1050.434244897957,1798.6887755102
0.8,992.4311224489808,1795.2806122449
0.8,1265.4573877551034,1710.07755102041
0.8,1048.355265306122,1802.04081632653
0.8,1049.0494693877533,1810.2040816326498
0.8,1050.8852244897982,1820.40816326531
0.8,1048.8680816326512,1827.55102040816
0.8,194.95102040816337,1680.61224489796
0.8,1228.4552734693855,1733.14795918367
0.8,1177.5782228571413,1737.86632653061
0.8,1131.3220244897932,1750.1887755102
0.8,1088.4087012244877,1769.19489795918
0.8,1050.434244897957,1798.6887755102
0.8,992.4311224489808,1795.2806122449
0.8,1265.4573877551034,1710.07755102041
0.8,1048.355265306122,1802.04081632653
0.8,1049.0494693877533,1810.2040816326498
0.8,1050.8852244897982,1820.40816326531
0.8,1048.8680816326512,1827.55102040816
0.8,194.95102040816337,1680.61224489796
0.8,1228.4552734693855,1733.14795918367
0.8,1177.5782228571413,1737.86632653061
0.8,1131.3220244897932,1750.1887755102
0.8,1088.4087012244877,1769.19489795918
0.8,1050.434244897957,1798.6887755102
0.8,992.4311224489808,1795.2806122449
0.8,1265.4573877551034,1710.07755102041
0.8,1048.355265306122,1802.04081632653
0.8,1049.0494693877533,1810.2040816326498
0.8,1050.8852244897982,1820.40816326531
0.8,1048.8680816326512,1827.55102040816
0.8,1236.3496000000002,1835.0
0.8,1195.8328,1835.0
0.8,1155.316,1835.0
0.8,1087.788,1835.0
