dataset,orig_no,record_id,field_changed,old_value,new_value,reason,date,checked_by,comments
UCS,232,232,omc_untreated_pct,0.405 (fraction),40.5 (percent),Unit harmonization: OMC reported as fraction (<1). Converted to percent by ×100.,2026-01-23,,
UCS,233,233,omc_untreated_pct,0.405 (fraction),40.5 (percent),Unit harmonization: OMC reported as fraction (<1). Converted to percent by ×100.,2026-01-23,,
UCS,234,234,omc_untreated_pct,0.405 (fraction),40.5 (percent),Unit harmonization: OMC reported as fraction (<1). Converted to percent by ×100.,2026-01-23,,
UCS,235,235,omc_untreated_pct,0.405 (fraction),40.5 (percent),Unit harmonization: OMC reported as fraction (<1). Converted to percent by ×100.,2026-01-23,,
UCS,236,236,omc_untreated_pct,0.405 (fraction),40.5 (percent),Unit harmonization: OMC reported as fraction (<1). Converted to percent by ×100.,2026-01-23,,
UCS,237,237,omc_untreated_pct,0.405 (fraction),40.5 (percent),Unit harmonization: OMC reported as fraction (<1). Converted to percent by ×100.,2026-01-23,,
UCS,238,238,omc_untreated_pct,0.405 (fraction),40.5 (percent),Unit harmonization: OMC reported as fraction (<1). Converted to percent by ×100.,2026-01-23,,
UCS,239,239,omc_untreated_pct,0.405 (fraction),40.5 (percent),Unit harmonization: OMC reported as fraction (<1). Converted to percent by ×100.,2026-01-23,,
UCS,240,240,omc_untreated_pct,0.405 (fraction),40.5 (percent),Unit harmonization: OMC reported as fraction (<1). Converted to percent by ×100.,2026-01-23,,
UCS,241,241,omc_untreated_pct,0.405 (fraction),40.5 (percent),Unit harmonization: OMC reported as fraction (<1). Converted to percent by ×100.,2026-01-23,,
UCS,242,242,omc_untreated_pct,0.405 (fraction),40.5 (percent),Unit harmonization: OMC reported as fraction (<1). Converted to percent by ×100.,2026-01-23,,
UCS,243,243,omc_untreated_pct,0.405 (fraction),40.5 (percent),Unit harmonization: OMC reported as fraction (<1). Converted to percent by ×100.,2026-01-23,,
